,Count,Mean,Median,Std Dev,Min,Q1 (25%),Q3 (75%),Max,IQR
distance_from_home,1000000.0,26.6288,9.9678,65.3908,0.0049,3.878,25.744,10632.7237,21.866
distance_from_last_transaction,1000000.0,5.0365,0.9987,25.8431,0.0001,0.2967,3.3557,11851.1046,3.0591
ratio_to_median_purchase_price,1000000.0,1.8242,0.9977,2.7996,0.0044,0.4757,2.0964,267.8029,1.6207
repeat_retailer,1000000.0,0.8815,1.0,0.3232,0.0,1.0,1.0,1.0,0.0
used_chip,1000000.0,0.3504,0.0,0.4771,0.0,0.0,1.0,1.0,1.0
used_pin_number,1000000.0,0.1006,0.0,0.3008,0.0,0.0,0.0,1.0,0.0
online_order,1000000.0,0.6506,1.0,0.4768,0.0,0.0,1.0,1.0,1.0
